R4,R3,R2b,R2
ValueSet.publisher,ValueSet.publisher,ValueSet.publisher,ValueSet.publisher
ValueSet.reference,ValueSet.reference,ValueSet.reference,ValueSet.reference
ValueSet.status,ValueSet.status,ValueSet.status,ValueSet.status
,,,ValueSet.system
ValueSet.title,ValueSet.title,,
ValueSet.url,ValueSet.url,ValueSet.url,ValueSet.url
ValueSet.version,ValueSet.version,ValueSet.version,ValueSet.version
VerificationResult,,,
VerificationResult.target,,,
VisionPrescription,VisionPrescription,VisionPrescription,VisionPrescription
VisionPrescription.datewritten,VisionPrescription.datewritten,VisionPrescription.datewritten,VisionPrescription.datewritten
VisionPrescription.encounter,VisionPrescription.encounter,VisionPrescription.encounter,VisionPrescription.encounter
VisionPrescription.identifier,VisionPrescription.identifier,VisionPrescription.identifier,VisionPrescription.identifier
VisionPrescription.patient,VisionPrescription.patient,VisionPrescription.patient,VisionPrescription.patient
VisionPrescription.prescriber,VisionPrescription.prescriber,VisionPrescription.prescriber,VisionPrescription.prescriber
VisionPrescription.status,,,
ServiceRequest,ProcedureRequest,ProcedureRequest,ProcedureRequest
ServiceRequest.authored,ProcedureRequest.authored,,
ServiceRequest.based-on,ProcedureRequest.based-on,,
ServiceRequest.body-site,ProcedureRequest.body-site,,
ServiceRequest.category,,,
ServiceRequest.code,ProcedureRequest.code,,
ServiceRequest.encounter,ProcedureRequest.encounter,ProcedureRequest.encounter,ProcedureRequest.encounter
,ProcedureRequest.context,,
ServiceRequest.identifier,ProcedureRequest.identifier,ProcedureRequest.identifier,ProcedureRequest.identifier
ServiceRequest.instantiates-canonical,ProcedureRequest.definition,,
ServiceRequest.instantiates-uri,,,
ServiceRequest.intent,ProcedureRequest.intent,,
ServiceRequest.occurrence,ProcedureRequest.occurrence,ProcedureRequest.patient,ProcedureRequest.patient
ServiceRequest.patient,ProcedureRequest.patient,,
ServiceRequest.performer,ProcedureRequest.performer,ProcedureRequest.performer,ProcedureRequest.performer
ServiceRequest.performer-type,ProcedureRequest.performer-type,,
ServiceRequest.priority,ProcedureRequest.priority,,
ServiceRequest.replaces,ProcedureRequest.replaces,,
ServiceRequest.requester,ProcedureRequest.requester,,
ServiceRequest.requisition,ProcedureRequest.requisition,,
ServiceRequest.specimen,ProcedureRequest.specimen,,
ServiceRequest.status,ProcedureRequest.status,,
ServiceRequest.subject,ProcedureRequest.subject,ProcedureRequest.subject,ProcedureRequest.subject
,,ProcedureRequest.orderer,ProcedureRequest.orderer
ServiceRequest,ReferralRequest,ReferralRequest,ReferralRequest
ServiceRequest.authored,ReferralRequest.authored-on,ReferralRequest.date,ReferralRequest.date
ServiceRequest.based-on,ReferralRequest.based-on,ReferralRequest.basedon,
ServiceRequest.body-site,,,
ServiceRequest.category,,ReferralRequest.category,
ServiceRequest.code,ReferralRequest.service,,
,ReferralRequest.type,ReferralRequest.type,ReferralRequest.type
,ReferralRequest.context,ReferralRequest.context,
ServiceRequest.encounter,ReferralRequest.encounter,,
ServiceRequest.identifier,ReferralRequest.identifier,,
ServiceRequest.instantiates-canonical,ReferralRequest.definition,,
ServiceRequest.instantiates-uri,,,
ServiceRequest.intent,ReferralRequest.intent,,
ServiceRequest.occurrence,ReferralRequest.occurrence-date,,
ServiceRequest.patient,ReferralRequest.patient,ReferralRequest.patient,ReferralRequest.patient
ServiceRequest.performer,ReferralRequest.recipient,ReferralRequest.recipient,ReferralRequest.recipient
ServiceRequest.performer-type,,,
ServiceRequest.priority,ReferralRequest.priority,ReferralRequest.priority,ReferralRequest.priority
ServiceRequest.replaces,ReferralRequest.replaces,,
ServiceRequest.requester,ReferralRequest.requester,ReferralRequest.requester,ReferralRequest.requester
ServiceRequest.requisition,,,
ServiceRequest.specimen,,,
ServiceRequest.status,ReferralRequest.status,ReferralRequest.status,ReferralRequest.status
ServiceRequest.subject,ReferralRequest.subject,,
,ReferralRequest.specialty,ReferralRequest.specialty,ReferralRequest.specialty
,ReferralRequest.group-identifier,,
,,ReferralRequest.parent,
ServiceRequest.replaces,ProcedureRequest.replaces,,
ServiceRequest.requester,ProcedureRequest.requester,,
ServiceRequest.requisition,ProcedureRequest.requisition,,
ServiceRequest.specimen,ProcedureRequest.specimen,,
ServiceRequest.status,ProcedureRequest.status,,
ServiceRequest.subject,ProcedureRequest.subject,ProcedureRequest.subject,ProcedureRequest.subject
,,ProcedureRequest.orderer,ProcedureRequest.orderer
ServiceRequest,ReferralRequest,ReferralRequest,ReferralRequest
ServiceRequest.authored,ReferralRequest.authored-on,ReferralRequest.date,ReferralRequest.date
ServiceRequest.based-on,ReferralRequest.based-on,ReferralRequest.basedon,
ServiceRequest.body-site,,,
ServiceRequest.category,,ReferralRequest.category,
ServiceRequest.code,ReferralRequest.service,,
,ReferralRequest.type,ReferralRequest.type,ReferralRequest.type
,ReferralRequest.context,ReferralRequest.context,
ServiceRequest.encounter,ReferralRequest.encounter,,
ServiceRequest.identifier,ReferralRequest.identifier,,
ServiceRequest.instantiates-canonical,ReferralRequest.definition,,
ServiceRequest.instantiates-uri,,,
ServiceRequest.intent,ReferralRequest.intent,,
ServiceRequest.occurrence,ReferralRequest.occurrence-date,,
ServiceRequest.patient,ReferralRequest.patient,ReferralRequest.patient,ReferralRequest.patient
ServiceRequest.performer,ReferralRequest.recipient,ReferralRequest.recipient,ReferralRequest.recipient
ServiceRequest.performer-type,,,
ServiceRequest.priority,ReferralRequest.priority,ReferralRequest.priority,ReferralRequest.priority
ServiceRequest.replaces,ReferralRequest.replaces,,
ServiceRequest.requester,ReferralRequest.requester,ReferralRequest.requester,ReferralRequest.requester
ServiceRequest.requisition,,,
ServiceRequest.specimen,,,
ServiceRequest.status,ReferralRequest.status,ReferralRequest.status,ReferralRequest.status
ServiceRequest.subject,ReferralRequest.subject,,
,ReferralRequest.specialty,ReferralRequest.specialty,ReferralRequest.specialty
,ReferralRequest.group-identifier,,
,,ReferralRequest.parent,
